Found path: /home/kb/rlnd/p1/Banana_Linux/Banana.x86_64
Mono path[0] = '/home/kb/rlnd/p1/Banana_Linux/Banana_Data/Managed'
Mono config path = '/home/kb/rlnd/p1/Banana_Linux/Banana_Data/MonoBleedingEdge/etc'
Preloaded 'ScreenSelector.so'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	ScreenSelector.so
	libgrpc_csharp_ext.x86.so
Logging to /home/kb/.config/unity3d/Unity Technologies/Unity Environment/Player.log
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		
Unity brain name: BananaBrain
        Number of Visual Observations (per agent): 0
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 37
        Number of stacked Vector Observation: 1
        Vector Action space type: discrete
        Vector Action space size (per agent): 4
        Vector Action descriptions: , , , 
action size:  4
state size:  37
episode:  0  | episode reward:  0.0  |epsilon:  0.75
episode:  1  | episode reward:  -1.0  |epsilon:  0.747
episode:  2  | episode reward:  1.0  |epsilon:  0.744
episode:  3  | episode reward:  -1.0  |epsilon:  0.741
episode:  4  | episode reward:  -2.0  |epsilon:  0.738
episode:  5  | episode reward:  0.0  |epsilon:  0.735
episode:  6  | episode reward:  -1.0  |epsilon:  0.732
episode:  7  | episode reward:  1.0  |epsilon:  0.729
episode:  8  | episode reward:  -2.0  |epsilon:  0.726
episode:  9  | episode reward:  -1.0  |epsilon:  0.723
episode:  10  | episode reward:  -1.0  |epsilon:  0.721
episode:  11  | episode reward:  1.0  |epsilon:  0.718
episode:  12  | episode reward:  -1.0  |epsilon:  0.715
episode:  13  | episode reward:  1.0  |epsilon:  0.712
episode:  14  | episode reward:  2.0  |epsilon:  0.709
episode:  15  | episode reward:  0.0  |epsilon:  0.706
episode:  16  | episode reward:  2.0  |epsilon:  0.704
episode:  17  | episode reward:  1.0  |epsilon:  0.701
episode:  18  | episode reward:  -1.0  |epsilon:  0.698
episode:  19  | episode reward:  -2.0  |epsilon:  0.695
episode:  20  | episode reward:  1.0  |epsilon:  0.692
episode:  21  | episode reward:  0.0  |epsilon:  0.69
episode:  22  | episode reward:  1.0  |epsilon:  0.687
episode:  23  | episode reward:  -1.0  |epsilon:  0.684
episode:  24  | episode reward:  0.0  |epsilon:  0.681
episode:  25  | episode reward:  1.0  |epsilon:  0.679
episode:  26  | episode reward:  -1.0  |epsilon:  0.676
episode:  27  | episode reward:  0.0  |epsilon:  0.673
episode:  28  | episode reward:  1.0  |epsilon:  0.671
episode:  29  | episode reward:  6.0  |epsilon:  0.668
episode:  30  | episode reward:  0.0  |epsilon:  0.665
episode:  31  | episode reward:  2.0  |epsilon:  0.663
episode:  32  | episode reward:  0.0  |epsilon:  0.66
episode:  33  | episode reward:  0.0  |epsilon:  0.657
episode:  34  | episode reward:  1.0  |epsilon:  0.655
episode:  35  | episode reward:  0.0  |epsilon:  0.652
episode:  36  | episode reward:  1.0  |epsilon:  0.649
episode:  37  | episode reward:  -1.0  |epsilon:  0.647
episode:  38  | episode reward:  0.0  |epsilon:  0.644
episode:  39  | episode reward:  0.0  |epsilon:  0.642
episode:  40  | episode reward:  1.0  |epsilon:  0.639
episode:  41  | episode reward:  -1.0  |epsilon:  0.637
episode:  42  | episode reward:  0.0  |epsilon:  0.634
episode:  43  | episode reward:  2.0  |epsilon:  0.631
episode:  44  | episode reward:  -2.0  |epsilon:  0.629
episode:  45  | episode reward:  0.0  |epsilon:  0.626
episode:  46  | episode reward:  0.0  |epsilon:  0.624
episode:  47  | episode reward:  2.0  |epsilon:  0.621
episode:  48  | episode reward:  0.0  |epsilon:  0.619
episode:  49  | episode reward:  3.0  |epsilon:  0.617
episode:  50  | episode reward:  3.0  |epsilon:  0.614
episode:  51  | episode reward:  0.0  |epsilon:  0.612
episode:  52  | episode reward:  0.0  |epsilon:  0.609
episode:  53  | episode reward:  4.0  |epsilon:  0.607
episode:  54  | episode reward:  0.0  |epsilon:  0.604
episode:  55  | episode reward:  -1.0  |epsilon:  0.602
episode:  56  | episode reward:  2.0  |epsilon:  0.599
episode:  57  | episode reward:  0.0  |epsilon:  0.597
episode:  58  | episode reward:  3.0  |epsilon:  0.595
episode:  59  | episode reward:  0.0  |epsilon:  0.592
episode:  60  | episode reward:  0.0  |epsilon:  0.59
episode:  61  | episode reward:  2.0  |epsilon:  0.588
episode:  62  | episode reward:  1.0  |epsilon:  0.585
episode:  63  | episode reward:  -2.0  |epsilon:  0.583
episode:  64  | episode reward:  2.0  |epsilon:  0.581
episode:  65  | episode reward:  3.0  |epsilon:  0.578
episode:  66  | episode reward:  0.0  |epsilon:  0.576
episode:  67  | episode reward:  0.0  |epsilon:  0.574
episode:  68  | episode reward:  0.0  |epsilon:  0.571
episode:  69  | episode reward:  2.0  |epsilon:  0.569
episode:  70  | episode reward:  -1.0  |epsilon:  0.567
episode:  71  | episode reward:  0.0  |epsilon:  0.565
episode:  72  | episode reward:  -1.0  |epsilon:  0.562
episode:  73  | episode reward:  -1.0  |epsilon:  0.56
episode:  74  | episode reward:  0.0  |epsilon:  0.558
episode:  75  | episode reward:  1.0  |epsilon:  0.556
episode:  76  | episode reward:  0.0  |epsilon:  0.553
episode:  77  | episode reward:  -1.0  |epsilon:  0.551
episode:  78  | episode reward:  3.0  |epsilon:  0.549
episode:  79  | episode reward:  4.0  |epsilon:  0.547
episode:  80  | episode reward:  2.0  |epsilon:  0.545
episode:  81  | episode reward:  1.0  |epsilon:  0.542
episode:  82  | episode reward:  1.0  |epsilon:  0.54
episode:  83  | episode reward:  -2.0  |epsilon:  0.538
episode:  84  | episode reward:  -1.0  |epsilon:  0.536
episode:  85  | episode reward:  1.0  |epsilon:  0.534
episode:  86  | episode reward:  -1.0  |epsilon:  0.532
episode:  87  | episode reward:  -1.0  |epsilon:  0.53
episode:  88  | episode reward:  1.0  |epsilon:  0.527
episode:  89  | episode reward:  2.0  |epsilon:  0.525
episode:  90  | episode reward:  2.0  |epsilon:  0.523
episode:  91  | episode reward:  1.0  |epsilon:  0.521
episode:  92  | episode reward:  -2.0  |epsilon:  0.519
episode:  93  | episode reward:  -1.0  |epsilon:  0.517
episode:  94  | episode reward:  -1.0  |epsilon:  0.515
episode:  95  | episode reward:  2.0  |epsilon:  0.513
episode:  96  | episode reward:  2.0  |epsilon:  0.511
episode:  97  | episode reward:  2.0  |epsilon:  0.509
episode:  98  | episode reward:  0.0  |epsilon:  0.507
episode:  99  | episode reward:  4.0  |epsilon:  0.505
episode:  100  | episode reward:  0.0  |epsilon:  0.503
episode:  101  | episode reward:  3.0  |epsilon:  0.501
episode:  102  | episode reward:  2.0  |epsilon:  0.499
episode:  103  | episode reward:  1.0  |epsilon:  0.497
episode:  104  | episode reward:  -1.0  |epsilon:  0.495
episode:  105  | episode reward:  4.0  |epsilon:  0.493
episode:  106  | episode reward:  3.0  |epsilon:  0.491
episode:  107  | episode reward:  -1.0  |epsilon:  0.489
episode:  108  | episode reward:  2.0  |epsilon:  0.487
episode:  109  | episode reward:  -2.0  |epsilon:  0.485
episode:  110  | episode reward:  7.0  |epsilon:  0.483
episode:  111  | episode reward:  1.0  |epsilon:  0.481
episode:  112  | episode reward:  0.0  |epsilon:  0.479
episode:  113  | episode reward:  0.0  |epsilon:  0.477
episode:  114  | episode reward:  0.0  |epsilon:  0.475
episode:  115  | episode reward:  1.0  |epsilon:  0.473
episode:  116  | episode reward:  2.0  |epsilon:  0.472
episode:  117  | episode reward:  2.0  |epsilon:  0.47
episode:  118  | episode reward:  1.0  |epsilon:  0.468
episode:  119  | episode reward:  1.0  |epsilon:  0.466
episode:  120  | episode reward:  1.0  |epsilon:  0.464
episode:  121  | episode reward:  6.0  |epsilon:  0.462
episode:  122  | episode reward:  0.0  |epsilon:  0.46
episode:  123  | episode reward:  2.0  |epsilon:  0.459
episode:  124  | episode reward:  3.0  |epsilon:  0.457
episode:  125  | episode reward:  4.0  |epsilon:  0.455
episode:  126  | episode reward:  -1.0  |epsilon:  0.453
episode:  127  | episode reward:  2.0  |epsilon:  0.451
episode:  128  | episode reward:  1.0  |epsilon:  0.449
episode:  129  | episode reward:  4.0  |epsilon:  0.448
episode:  130  | episode reward:  3.0  |epsilon:  0.446
episode:  131  | episode reward:  5.0  |epsilon:  0.444
episode:  132  | episode reward:  3.0  |epsilon:  0.442
episode:  133  | episode reward:  3.0  |epsilon:  0.441
episode:  134  | episode reward:  6.0  |epsilon:  0.439
episode:  135  | episode reward:  1.0  |epsilon:  0.437
episode:  136  | episode reward:  0.0  |epsilon:  0.435
episode:  137  | episode reward:  1.0  |epsilon:  0.434
episode:  138  | episode reward:  5.0  |epsilon:  0.432
episode:  139  | episode reward:  5.0  |epsilon:  0.43
episode:  140  | episode reward:  5.0  |epsilon:  0.428
episode:  141  | episode reward:  4.0  |epsilon:  0.427
episode:  142  | episode reward:  0.0  |epsilon:  0.425
episode:  143  | episode reward:  2.0  |epsilon:  0.423
episode:  144  | episode reward:  6.0  |epsilon:  0.422
episode:  145  | episode reward:  3.0  |epsilon:  0.42
episode:  146  | episode reward:  0.0  |epsilon:  0.418
episode:  147  | episode reward:  3.0  |epsilon:  0.417
episode:  148  | episode reward:  0.0  |epsilon:  0.415
episode:  149  | episode reward:  2.0  |epsilon:  0.413
episode:  150  | episode reward:  10.0  |epsilon:  0.412
episode:  151  | episode reward:  5.0  |epsilon:  0.41
episode:  152  | episode reward:  2.0  |epsilon:  0.408
episode:  153  | episode reward:  5.0  |epsilon:  0.407
episode:  154  | episode reward:  0.0  |epsilon:  0.405
episode:  155  | episode reward:  9.0  |epsilon:  0.403
episode:  156  | episode reward:  3.0  |epsilon:  0.402
episode:  157  | episode reward:  4.0  |epsilon:  0.4
episode:  158  | episode reward:  1.0  |epsilon:  0.399
episode:  159  | episode reward:  0.0  |epsilon:  0.397
episode:  160  | episode reward:  9.0  |epsilon:  0.395
episode:  161  | episode reward:  4.0  |epsilon:  0.394
episode:  162  | episode reward:  2.0  |epsilon:  0.392
episode:  163  | episode reward:  0.0  |epsilon:  0.391
episode:  164  | episode reward:  4.0  |epsilon:  0.389
episode:  165  | episode reward:  6.0  |epsilon:  0.388
episode:  166  | episode reward:  3.0  |epsilon:  0.386
episode:  167  | episode reward:  6.0  |epsilon:  0.385
episode:  168  | episode reward:  6.0  |epsilon:  0.383
episode:  169  | episode reward:  3.0  |epsilon:  0.381
episode:  170  | episode reward:  3.0  |epsilon:  0.38
episode:  171  | episode reward:  4.0  |epsilon:  0.378
episode:  172  | episode reward:  1.0  |epsilon:  0.377
episode:  173  | episode reward:  1.0  |epsilon:  0.375
episode:  174  | episode reward:  4.0  |epsilon:  0.374
episode:  175  | episode reward:  3.0  |epsilon:  0.372
episode:  176  | episode reward:  10.0  |epsilon:  0.371
episode:  177  | episode reward:  0.0  |epsilon:  0.369
episode:  178  | episode reward:  2.0  |epsilon:  0.368
episode:  179  | episode reward:  -1.0  |epsilon:  0.367
episode:  180  | episode reward:  6.0  |epsilon:  0.365
episode:  181  | episode reward:  4.0  |epsilon:  0.364
episode:  182  | episode reward:  1.0  |epsilon:  0.362
episode:  183  | episode reward:  0.0  |epsilon:  0.361
episode:  184  | episode reward:  0.0  |epsilon:  0.359
episode:  185  | episode reward:  5.0  |epsilon:  0.358
episode:  186  | episode reward:  6.0  |epsilon:  0.356
episode:  187  | episode reward:  3.0  |epsilon:  0.355
episode:  188  | episode reward:  1.0  |epsilon:  0.354
episode:  189  | episode reward:  2.0  |epsilon:  0.352
episode:  190  | episode reward:  5.0  |epsilon:  0.351
episode:  191  | episode reward:  2.0  |epsilon:  0.349
episode:  192  | episode reward:  5.0  |epsilon:  0.348
episode:  193  | episode reward:  6.0  |epsilon:  0.347
episode:  194  | episode reward:  7.0  |epsilon:  0.345
episode:  195  | episode reward:  0.0  |epsilon:  0.344
episode:  196  | episode reward:  8.0  |epsilon:  0.342
episode:  197  | episode reward:  2.0  |epsilon:  0.341
episode:  198  | episode reward:  7.0  |epsilon:  0.34
episode:  199  | episode reward:  7.0  |epsilon:  0.338
episode:  200  | episode reward:  3.0  |epsilon:  0.337
episode:  201  | episode reward:  2.0  |epsilon:  0.336
episode:  202  | episode reward:  0.0  |epsilon:  0.334
episode:  203  | episode reward:  3.0  |epsilon:  0.333
episode:  204  | episode reward:  3.0  |epsilon:  0.332
episode:  205  | episode reward:  2.0  |epsilon:  0.33
episode:  206  | episode reward:  3.0  |epsilon:  0.329
episode:  207  | episode reward:  8.0  |epsilon:  0.328
episode:  208  | episode reward:  6.0  |epsilon:  0.326
episode:  209  | episode reward:  4.0  |epsilon:  0.325
episode:  210  | episode reward:  6.0  |epsilon:  0.324
episode:  211  | episode reward:  6.0  |epsilon:  0.322
episode:  212  | episode reward:  3.0  |epsilon:  0.321
episode:  213  | episode reward:  7.0  |epsilon:  0.32
episode:  214  | episode reward:  3.0  |epsilon:  0.319
episode:  215  | episode reward:  6.0  |epsilon:  0.317
episode:  216  | episode reward:  3.0  |epsilon:  0.316
episode:  217  | episode reward:  1.0  |epsilon:  0.315
episode:  218  | episode reward:  10.0  |epsilon:  0.314
episode:  219  | episode reward:  7.0  |epsilon:  0.312
episode:  220  | episode reward:  1.0  |epsilon:  0.311
episode:  221  | episode reward:  10.0  |epsilon:  0.31
